"line_number","citations","text"
"11","16;22","Timing closure is no longer a narrow signoff task performed at the end of implementation. It is an iterative control loop that repeatedly estimates timing, optimizes the design, and validates the result under increasingly accurate physical assumptions. The multicorner acceleration work in [16] is explicit about this loop: timing analysis is repeatedly invoked inside iterative physical design, and the runtime bottleneck is no longer a single final run but the cost of many timing evaluations under many scenarios. The heterogeneous CPU-GPU STA engine in [22] makes the same point from the systems side by accelerating levelization, delay computation, propagation, incremental updates, and multicorner analysis because those are precisely the high-frequency workloads designers already pay for in real flows."
"13","1;10;17","The cost of that loop is amplified when early timing surrogates are poorly aligned with post-route signoff. The placement-guidance framework in [1] is motivated by the fact that placement decisions strongly shape later routing and timing outcomes. The pre-route optimization framework in [17] shows that better delay and slew prediction can materially reduce unnecessary place-and-route iteration. The GR-to-DR correction framework in [10] goes further and demonstrates that stage mismatch itself is a first-order problem: optimization based on inaccurate post-global-route timing can steer the flow away from the detailed-route outcome that determines signoff."
"17","20;39;49","Several recent works survey only one slice of this landscape at a time. The survey in [20] catalogs ML uses across agile-design timing tasks such as prediction and acceleration. The survey in [49] organizes SSTA around block-based versus path-based propagation, variation sources, and correlation handling. The review in [39] extends timing discussion from manufacturing variation to reliability mechanisms such as aging and adaptive countermeasures. Yet none of these surveys treats ML prediction, statistical timing, reliability-aware modeling, and accelerated timing engines as parts of the same closure problem. The missing piece is composition: current deployment decisions are about how to combine these techniques without losing signoff trustworthiness."
"19","1;7;12;15;16;19;44","This paper uses *intent-robust timing closure* as its organizing idea. A timing methodology is intent-robust if it continues to produce correct optimization, screening, or verification decisions when the intent of the flow shifts. Design intent shifts when placement optimization resizes gates or inserts buffers [1], when routing topology is modified to improve signoff [7], or when ECO edits restructure timing paths [19]. Operating intent shifts when the relevant corner set changes or when only a subset of scenarios can be afforded in each iteration [16]. Silicon intent shifts when aging, BTI, dynamic supply noise, or process variability alter which paths dominate and how delay should be interpreted [12], [15], [44]. A robust method therefore must survive distribution shift by construction, not by luck."
"27","46;48;49;50","This paper should be read as a structured fixed-corpus review with an architectural synthesis, not as an open-ended bibliometric survey. The evidence base is the local fifty-paper corpus assembled for this project and processed into searchable text and HTML. The corpus spans 2006 through 2026 and intentionally mixes recent ML papers with older timing-analysis papers that still define the labels and failure modes used by newer work. That choice is necessary because modern learning papers often optimize quantities whose meaning was formalized much earlier. Slack semantics in [50] still shape how WNS, TNS, and endpoint slack should be interpreted. The SSTA survey in [49] still defines the main algorithmic language for timing under uncertainty. The coupling-aware framework in [48] and the interdependent-constraint work in [46] remain relevant because they expose modeling assumptions that many newer predictors still inherit."
"33","12;14;15;20;21;22;23;39;44","The review also extends beyond narrowly “ML for STA” papers. Survey [20] catalogs agile-flow ML uses, but it does not address whether those predictors can coexist with fast fallback to trusted analysis. That is why the GPU PBA framework in [21] and the heterogeneous STA engine in [22] are central here: [21] lowers the cost of pessimism reduction, and [22] lowers the cost of multicorner and incremental signoff workloads. Likewise, the reliability survey in [39] is included not as background alone but because it reframes timing from a process-variation problem into a reliability problem that includes aging and adaptation. Under that framing, aging-aware cell timing [14], path-level aging prediction [15], aging-aware critical-path ranking [23], BTI-aware temporal timing [44], and dynamic-noise-aware STA [12] become part of the timing core rather than side topics."
"39","20","| [20] | ML-based STA in agile design | Yes | Limited | Limited | No | No |"
"40","49","| [49] | SSTA survey | No | Yes | No | No | No |"
"41","39","| [39] | Timing from process variation to reliability | Limited | Moderate | Yes | No | No |"
"50","37;40;50","| Label semantics | Does the target preserve the timing meaning designers actually optimize? | Slack semantics [50], true-path reasoning [37], [40] |"
"51","8;10","| Stage robustness | Does the method stay useful as the flow moves from early estimates to routed signoff? | GR-to-DR correction [10], optimization-aware preroute prediction [8] |"
"52","1;3;19","| Transformation robustness | Does the method survive ECOs, sizing, buffering, or topology change? | Placement actions [1], ECO transfer learning [19], derivable placement model [3] |"
"53","9;16;28","| Scenario robustness | Does the method cope with corner growth and method-choice uncertainty? | Bayesian multicorner fallback [16], dominant-corner selection [28], TimeBoost [9] |"
"54","12;14;15;23;44","| Lifetime robustness | Does the method account for aging, BTI, or dynamic-noise perturbation? | Aging-aware timing [14], [15], [23]; PSN-aware STA [12]; BTI-aware timing [44] |"
"55","13;17;21;22;25;29","| Trust mechanism | Is there an explicit signoff anchor, fallback path, or physics-preserving intermediate? | Post-placement correction [25], [13]; GPU fallback [21], [22]; intermediate surrogates [17], [29] |"
